漢字	音読み	訓読み	画数	部首	異体字	れい	例	
存	ソン、ゾン		6	子,こ		そんざい、ごそんじ、ほぞん、せいぞん	存在、ご存じ、保存、生存	
尊	ソン	たっと(い)、たっと(ぶ)、とうと(い)、とうと(ぶ)	12	寸,すん		そんけい、じそん	尊敬、自尊	
宅	タク		6	宀,うかんむり		じたく、じゅうたく、きたく	自宅、住宅、帰宅	
担	タン	にな(う)、かつ(ぐ)	8	扌,てへん		たんとう、ふたん、たんにん	担当、負担、担任	
探	タン	さが(す)、さぐ(る)	11	扌,てへん		たんさく、たんけん、たんてい	探索、探検、探偵	
誕	タン		15	訁,ごんべん		たんじょうび、せいたん	誕生日、生誕	
段	ダン		9	殳,るまた		だんかい、だんだん、だんらく、かいだん	段階、段々、段落、階段	
暖	ダン	あたた(かい)、あたた(める)、あたた(まる)	13	日,ひへん		だんぼう、おんだん、だんとう	暖房、温暖、暖冬	
値	チ	ね、あたい	10	亻,にんべん		ねだん、かち	値段、価値	
宙	チュウ		8	宀,うかんむり		うちゅう	宇宙	
忠	チュウ		8	心,こころ		ちゅうじつ、ちゅうこく	忠実、忠告	
著	チョ	いちじる(しい)、あらわ(す)	11	艹,くさかんむり		ちょしゃ、ちょさくけん	著者、著作権	
庁	チョウ		5	广,まだれ		けいしちょう	警視庁	
頂	チョウ	いただき、いただ(く)	11	頁,おおがい		ちょうてん、ちょうじょう、ちょうだい	頂点、頂上、頂戴	
